leg,llm_kind,llm,slot_a_model,slot_b_model,voice,target_words,actual_words,n_lines,n_chars,seed,premise_i,status,secs,freeze_verdict,dramatic_state_source,default_wants_present,ds_aboutness,news_reaches_lines,news_terms_in_lines,news_key_terms,title,episode
leg_0012,remote,or:~anthropic/claude-opus-latest|B:~anthropic/claude-opus-latest,~anthropic/claude-opus-latest,~anthropic/claude-opus-latest,indextts2,864,722,18,5,331889,,success,902,frozen_with_warns,llm,no,YES,YES,logical qubit; qubits,quantum error correction; logical qubit; trapped ion processor; quantum supremacy; 2028; qubits,The Correlated Dark,signal_lost_the_correlated_dark_20260620_065334
leg_0013,remote,or:~google/gemini-pro-latest|B:~anthropic/claude-opus-latest,~google/gemini-pro-latest,~anthropic/claude-opus-latest,indextts2,864,711,18,5,25621,,success,1262,frozen_with_warns,llm,no,YES,YES,NASA; Katalyst Space Technologies; Swift; Link; Wallops Island,NASA; Katalyst Space Technologies; Swift; Link; Wallops Island; Shawn Domagal-Goldman,Reacting to a Ghost,signal_lost_reacting_to_a_ghost_20260620_071451
leg_0014,remote,or:x-ai/grok-4.3|B:~anthropic/claude-opus-latest,x-ai/grok-4.3,~anthropic/claude-opus-latest,indextts2,864,227,18,5,130350,,success,586,frozen_with_warns,llm,no,YES,no,,"NASA; Katalyst Space Technologies; Swift; Link servicing spacecraft; Shawn Domagal-Goldman; Wallops Island, Virginia; three robotic arms",Flying With the Ridge,signal_lost_flying_with_the_ridge_20260620_072705
leg_0015,remote,or:~openai/gpt-latest|B:~anthropic/claude-opus-latest,~openai/gpt-latest,~anthropic/claude-opus-latest,indextts2,864,551,18,5,235079,,success,781,frozen_with_warns,llm,no,YES,no,,quantum error correction; logical qubit; trapped ion processor; quantum supremacy; qubits; 2028,The Bidder’s Clock,signal_lost_the_bidders_clock_20260620_073801
leg_0016,remote,or:~anthropic/claude-opus-latest|B:~anthropic/claude-opus-latest,~anthropic/claude-opus-latest,~anthropic/claude-opus-latest,indextts2,864,748,18,5,339808,,success,857,frozen_with_warns,llm,no,YES,YES,Costa Rica; UCLA,white-faced capuchin monkeys; Costa Rica; UCLA; climate extremes,A Column Called Nothing,signal_lost_a_column_called_nothing_20260620_075211
leg_0017,remote,or:~google/gemini-pro-latest|B:~anthropic/claude-opus-latest,~google/gemini-pro-latest,~anthropic/claude-opus-latest,indextts2,864,569,18,5,33540,,success,1217,frozen_with_warns,llm,no,YES,YES,NASA; Swift; Link,"NASA; Katalyst Space Technologies; Swift; Link; Wallops Island, Virginia; Shawn Domagal-Goldman",Spot-Welded Thruster Mounts,signal_lost_spotwelded_thruster_mounts_20260620_081251
leg_0018,remote,or:x-ai/grok-4.3|B:~anthropic/claude-opus-latest,x-ai/grok-4.3,~anthropic/claude-opus-latest,indextts2,864,274,18,5,138269,,success,676,frozen_with_warns,llm,no,YES,YES,NASA; Swift,"NASA; Katalyst Space Technologies; Swift; Link servicing spacecraft; Shawn Domagal-Goldman; Wallops Island, Virginia; three robotic arms",Needle Walks Its Path,signal_lost_needle_walks_its_path_20260620_082533
leg_0019,remote,or:~openai/gpt-latest|B:~anthropic/claude-opus-latest,~openai/gpt-latest,~anthropic/claude-opus-latest,indextts2,864,491,18,5,242998,,success,691,frozen_with_warns,llm,no,YES,YES,NASA; Swift,"NASA; Katalyst Space Technologies; Swift; Link; Shawn Domagal-Goldman; Wallops Island, Virginia; three robotic arms",Swift in the Cradle,signal_lost_swift_in_the_cradle_20260620_083610
leg_0020,remote,or:~anthropic/claude-opus-latest|B:~anthropic/claude-opus-latest,~anthropic/claude-opus-latest,~anthropic/claude-opus-latest,indextts2,864,613,18,5,347727,,success,796,frozen_with_warns,llm,no,YES,no,,Katalyst Space Technologies; NASA; Swift; Link; Wallops Island; Shawn Domagal-Goldman; robotic arms,Catch Her With Two,signal_lost_catch_her_with_two_20260620_084916
leg_0021,remote,or:~google/gemini-pro-latest|B:~anthropic/claude-opus-latest,~google/gemini-pro-latest,~anthropic/claude-opus-latest,indextts2,864,600,18,5,41459,,success,1097,frozen_with_warns,llm,no,YES,YES,Ocean Observatories Initiative; OOI; The New York Times,Ocean Observatories Initiative; OOI; Zoe Lofgren; House Science Committee; The New York Times; Senate,Scrape the Benthic Line,signal_lost_scrape_the_benthic_line_20260620_090646
leg_0022,remote,or:x-ai/grok-4.3|B:~anthropic/claude-opus-latest,x-ai/grok-4.3,~anthropic/claude-opus-latest,indextts2,864,233,18,5,146188,,success,631,frozen_with_warns,llm,no,YES,YES,NASA; Swift,"NASA; Katalyst Space Technologies; Swift; Link; Shawn Domagal-Goldman; Wallops Island, Virginia; three robotic arms",Gauge After the Burn,signal_lost_gauge_after_the_burn_20260620_091926
leg_0023,remote,or:~openai/gpt-latest|B:~anthropic/claude-opus-latest,~openai/gpt-latest,~anthropic/claude-opus-latest,indextts2,864,596,18,5,250917,,success,797,frozen_with_warns,llm,no,YES,YES,Swift,"NASA; Katalyst Space Technologies; Swift; Link; Shawn Domagal-Goldman; Wallops Island, Virginia",The Port Jaw Holds,signal_lost_the_port_jaw_holds_20260620_093055
leg_0024,remote,or:~anthropic/claude-opus-latest|B:~anthropic/claude-opus-latest,~anthropic/claude-opus-latest,~anthropic/claude-opus-latest,indextts2,864,613,18,5,355646,,success,811,frozen_with_warns,llm,no,YES,YES,robotic arms,"NASA; Katalyst Space Technologies; Swift; Link; Wallops Island, Virginia; Shawn Domagal-Goldman; robotic arms",Names On The Board,signal_lost_names_on_the_board_20260620_094412
leg_0025,remote,or:~google/gemini-pro-latest|B:~anthropic/claude-opus-latest,~google/gemini-pro-latest,~anthropic/claude-opus-latest,indextts2,864,590,18,5,49378,,success,1036,frozen_with_warns,llm,no,YES,YES,cannabis; terpenes; geraniol; THC; fibromyalgia; post-surgical pain,cannabis; terpenes; geraniol; THC; fibromyalgia; post-surgical pain; mouse models,Thick-Gauge Glass Rig,signal_lost_thickgauge_glass_rig_20260620_100132
leg_0026,remote,or:x-ai/grok-4.3|B:~anthropic/claude-opus-latest,x-ai/grok-4.3,~anthropic/claude-opus-latest,indextts2,864,321,18,5,154107,,success,661,frozen_with_warns,llm,no,YES,YES,cobalt; battery supply chains; critical bottlenecks,cobalt; global cobalt supply chain; battery supply chains; EV battery; critical bottlenecks,Ledger Into the Grate,signal_lost_ledger_into_the_grate_20260620_101354
leg_0027,remote,or:~openai/gpt-latest|B:~anthropic/claude-opus-latest,~openai/gpt-latest,~anthropic/claude-opus-latest,indextts2,864,520,18,5,258836,,success,812,frozen_with_warns,llm,no,YES,YES,food,food; parasites; protection; interspecies; communication; species,Canopy Switchboard,signal_lost_canopy_switchboard_20260620_102613
leg_0028,remote,or:~anthropic/claude-opus-latest|B:~anthropic/claude-opus-latest,~anthropic/claude-opus-latest,~anthropic/claude-opus-latest,indextts2,864,618,18,5,363565,,success,886,frozen_with_warns,llm,no,YES,YES,hexagonal boron nitride,hexagonal boron nitride; quantum emitters; quantum computers; communications systems; sensors; layered sheets,The Same Door Twice,signal_lost_the_same_door_twice_20260620_104054
leg_0029,remote,or:~google/gemini-pro-latest|B:~anthropic/claude-opus-latest,~google/gemini-pro-latest,~anthropic/claude-opus-latest,indextts2,864,591,18,5,57297,,success,1052,frozen_with_warns,llm,no,YES,YES,EXO1; DNA; cancer; molecular scissors; gene,EXO1; DNA; cancer; molecular scissors; gene,Blind in Sector 4G,signal_lost_blind_in_sector_4g_20260620_105807
leg_0030,remote,or:x-ai/grok-4.3|B:~anthropic/claude-opus-latest,x-ai/grok-4.3,~anthropic/claude-opus-latest,indextts2,864,296,18,5,162026,,success,691,frozen_with_warns,llm,no,YES,YES,thawing permafrost; rock weathering,thawing permafrost; rock weathering; CO2; river greenhouse gas emissions; carbon emissions,Permafrost River Gas Clash,signal_lost_permafrost_river_gas_clash_20260620_111122
leg_0031,remote,or:~openai/gpt-latest|B:~anthropic/claude-opus-latest,~openai/gpt-latest,~anthropic/claude-opus-latest,indextts2,864,543,18,5,266755,,success,811,frozen_with_warns,llm,no,YES,YES,NASA; Swift; Link,"NASA; Katalyst Space Technologies; Swift; Link; Wallops Island, Virginia; Shawn Domagal-Goldman; robotic arms",The First Bite,signal_lost_the_first_bite_20260620_112326
leg_0032,remote,or:~anthropic/claude-opus-latest|B:~anthropic/claude-opus-latest,~anthropic/claude-opus-latest,~anthropic/claude-opus-latest,indextts2,864,774,18,5,371484,,success,841,frozen_with_warns,llm,no,YES,YES,Aliso Canyon,Aliso Canyon; UCLA Aliso Canyon Disaster Health Research Study; Pourat; Los Angeles County Department of Public Health; hazardous air pollutants; natural gas storage facility,The Nine We Carry,signal_lost_the_nine_we_carry_20260620_113725
leg_0033,remote,or:~google/gemini-pro-latest|B:~anthropic/claude-opus-latest,~google/gemini-pro-latest,~anthropic/claude-opus-latest,indextts2,864,0,0,0,65216,,success,947,,,no,no,no,,,,pending_20260620_115936
leg_0034,remote,or:x-ai/grok-4.3|B:~anthropic/claude-opus-latest,x-ai/grok-4.3,~anthropic/claude-opus-latest,indextts2,864,306,18,5,169945,,success,676,frozen_with_warns,llm,no,YES,YES,Swift; three robotic arms,"NASA; Katalyst Space Technologies; Swift; Link servicing spacecraft; Shawn Domagal-Goldman; Wallops Island, Virginia; three robotic arms",Key Seated Past Tower,signal_lost_key_seated_past_tower_20260620_120608
leg_0035,remote,or:~openai/gpt-latest|B:~anthropic/claude-opus-latest,~openai/gpt-latest,~anthropic/claude-opus-latest,indextts2,864,572,18,5,274674,,success,826,frozen_with_warns,llm,no,YES,YES,National Science Foundation; KBR Services LLC,National Science Foundation; KBR Services LLC; Antarctic Science and Engineering Support Contract; Antarctica; $8B,Ink Between Words,signal_lost_ink_between_words_20260620_121808
